,Arrival,Departure,Net Arrival
2006,213410,-105840,107570
2007,460580,-216550,244030
2008,535970,-220280,315690
2009,478790,-231890,246900
2010,425120,-253080,172040
2011,449020,-242780,206240
2012,478350,-238110,240250
2013,478680,-270310,208380
2014,458760,-276410,182350
2015,473250,-286520,186730
2016,519650,-275820,243830
2017,531370,-289710,241660
2018,534400,-282180,252220
2019,607870,-360250,247620
2020,235350,-240320,-4970
2021,214410,-205100,9300
2022,651350,-213500,437860
2023,739030,-208410,530620
2024,593540,-263610,329940
2025,280970,-120810,160160
Total,9359870,-4801470,4558410
