,,,,
Net Overseas Migration (1),,,,
Reference period by Direction of migration,,,,
Counting: Persons,,,,
,,,,
Filters:,,,,
Default Summation,Persons ((x1)),,,
,,,,
Direction of migration (2),,Arrival,Departure,Total
,Reference period (3),,,
,2006,213410,-105840,107570
,2007,460580,-216550,244030
,2008,535970,-220280,315690
,2009,478790,-231890,246900
,2010,425120,-253080,172040
,2011,449020,-242780,206240
,2012,478350,-238110,240250
,2013,478680,-270310,208380
,2014,458760,-276410,182350
,2015,473250,-286520,186730
,2016,519650,-275820,243830
,2017,531370,-289710,241660
,2018,534400,-282180,252220
,2019,607870,-360250,247620
,2020,235350,-240320,-4970
,2021,214410,-205100,9300
,2022,651350,-213500,437860
,2023,739030,-208410,530620
,2024,593540,-263610,329940
,2025,280970,-120810,160160
,Total,9359870,-4801470,4558410
"Dataset: Net Overseas Migration, TableBuilder",,,,
Symbol,Description,,,
,,,,
1,Estimates for the latest four quarters available are preliminary and will be subject to future revisions. Preliminary estimates are based on outputs from a propensity model rather than the actual migration outcomes of each traveller. Care should be taken when using preliminary NOM tabulations that produce cells with small values as these may be subject to proportionally large revisions.,,,
(x1),No scaling applied,,,
2,"Overseas migrant departures are presented as negative numbers to represent their effect on the Australian Estimated Resident Population. The sum of overseas migrant arrivals and overseas migrant departures, presented as Total in the table, is therefore equivalent to net overseas migration.",,,
3,"Calendar years may not include all four reference quarters. 2006 contains only the September and December quarters, and the latest year contains up to the latest available quarter. Take care when extracting data by calendar year.",,,
"© Copyright Commonwealth of Australia, 2025, see abs.gov.au/copyright",,,,
"ABS data licensed under Creative Commons, see abs.gov.au/ccby",,,,
