Quarter,Value of work commenced ;  Chain Volume Measures ;  New South Wales ;  New ;  Total Residential ;,Value of work commenced ;  Chain Volume Measures ;  Victoria ;  New ;  Total Residential ;,Value of work commenced ;  Chain Volume Measures ;  Queensland ;  New ;  Total Residential ;,Value of work commenced ;  Chain Volume Measures ;  South Australia ;  New ;  Total Residential ;,Value of work commenced ;  Chain Volume Measures ;  Western Australia ;  New ;  Total Residential ;,Value of work commenced ;  Chain Volume Measures ;  Tasmania ;  New ;  Total Residential ;,Value of work commenced ;  Chain Volume Measures ;  Northern Territory ;  New ;  Total Residential ;,Value of work commenced ;  Chain Volume Measures ;  Australian Capital Territory ;  New ;  Total Residential ;
1969-09-01 00:00:00,3229627,2000160,1043840,514416,1232832,319555,78450,152902
1969-12-01 00:00:00,3003763,1909886,953878,495823,1082639,189445,67495,150166
1970-03-01 00:00:00,3216247,1794135,1016709,483737,1101781,231402,93292,228897
1970-06-01 00:00:00,2949607,1781120,980653,521854,962632,193683,86577,196371
1970-09-01 00:00:00,2811668,1899363,1069900,572366,921771,265731,119795,229201
1970-12-01 00:00:00,3036894,1663154,996003,603355,867657,232673,61488,202755
1971-03-01 00:00:00,3016188,1641555,1185922,551913,876860,201311,98592,255648
1971-06-01 00:00:00,3227079,1750659,1313725,491794,777836,189021,149125,201539
1971-09-01 00:00:00,3054097,1910993,1518994,541687,929501,210635,137110,237105
1971-12-01 00:00:00,3003126,1711337,1379768,547265,767161,191140,209906,215522
1972-03-01 00:00:00,3094873,1811858,1209840,594678,823115,205973,103893,205491
1972-06-01 00:00:00,3182161,2256861,1537558,591889,843730,212754,138524,239537
1972-09-01 00:00:00,3263077,2319444,1718909,617300,968154,248778,111314,260511
1972-12-01 00:00:00,3033709,2316397,1600388,586621,952693,226740,96825,259903
1973-03-01 00:00:00,3418856,2297013,1883481,729479,932814,259374,97886,295165
1973-06-01 00:00:00,3716078,2690787,1983439,662234,1195652,288193,88698,359001
1973-09-01 00:00:00,3471101,2717094,2012712,729170,1217003,316588,109194,297293
1973-12-01 00:00:00,3147756,2198431,1822793,615750,948275,253440,66082,252608
1974-03-01 00:00:00,3092006,2304490,1803515,647669,806918,272088,82337,285134
1974-06-01 00:00:00,2674684,1948654,1721765,519065,999812,265731,196831,273886
1974-09-01 00:00:00,1921275,1699707,1176283,548814,726668,217840,190470,192724
1974-12-01 00:00:00,2326173,1432760,870343,427647,621017,166135,67142,200323
1975-03-01 00:00:00,2130891,1617463,1035272,513177,702004,241997,11661,160806
1975-06-01 00:00:00,2305147,2017329,1208055,584761,862136,253864,71736,264767
1975-09-01 00:00:00,2237930,2016498,1397974,636513,1122396,278445,347370,273886
1975-12-01 00:00:00,1722489,1858102,1401187,615440,952693,221231,284469,271455
1976-03-01 00:00:00,1753709,2231661,1414396,652317,1203750,372956,254078,265679
1976-06-01 00:00:00,2174216,2256307,1483295,789598,1323389,302603,178456,260207
1976-09-01 00:00:00,2265008,2606605,1660005,847547,1128654,300060,254785,262639
1976-12-01 00:00:00,2288582,2229723,1472228,703139,1056135,296669,213440,210050
1977-03-01 00:00:00,2323624,2038928,1464732,614820,1184976,278021,166087,199715
1977-06-01 00:00:00,2268831,2086558,1403686,537038,1320076,247931,208139,109129
1977-09-01 00:00:00,2283166,1940900,1633231,594988,1106567,297941,95765,165973
1977-12-01 00:00:00,2076735,1701091,1339428,403786,816857,230131,115201,146823
1978-03-01 00:00:00,2146820,1518327,1537201,390151,912936,222926,92232,127064
1978-06-01 00:00:00,2285396,1955023,1639300,437874,831582,236488,73149,141959
1978-09-01 00:00:00,2429070,1595587,1705700,389221,951957,237335,117321,151078
1978-12-01 00:00:00,2506481,1349686,1514710,390151,773051,216569,66788,106697
1979-03-01 00:00:00,2771529,1722414,1741042,349865,954534,240726,53713,130712
1979-06-01 00:00:00,2922529,1568172,2010570,412773,1084848,331846,72442,168101
1979-09-01 00:00:00,2914246,1780012,2042342,420830,1043618,246659,121562,117640
1979-12-01 00:00:00,3124819,1519712,2059120,406885,975148,216992,73502,89066
1980-03-01 00:00:00,3731369,1575649,1953451,397278,1003125,236488,165381,87546
1980-06-01 00:00:00,3164958,1692507,2366489,412463,1057975,191564,78450,165061
1980-09-01 00:00:00,4262101,1870287,2569617,401926,1093315,257678,100006,154118
1980-12-01 00:00:00,4206989,1700538,2487152,447790,938336,256407,148772,170837
1981-03-01 00:00:00,3852425,1590325,2466446,356683,1107303,208092,164674,177829
