Quarter,Value of work done during quarter ;  Chain Volume Measures ;  New South Wales ;  New ;  Total Residential ;,Value of work done during quarter ;  Chain Volume Measures ;  New South Wales ;  New ;  Total Residential ;.1,Value of work done during quarter ;  Chain Volume Measures ;  Victoria ;  New ;  Total Residential ;,Value of work done during quarter ;  Chain Volume Measures ;  Victoria ;  New ;  Total Residential ;.1,Value of work done during quarter ;  Chain Volume Measures ;  Queensland ;  New ;  Total Residential ;,Value of work done during quarter ;  Chain Volume Measures ;  Queensland ;  New ;  Total Residential ;.1,Value of work done during quarter ;  Chain Volume Measures ;  South Australia ;  New ;  Total Residential ;,Value of work done during quarter ;  Chain Volume Measures ;  South Australia ;  New ;  Total Residential ;.1,Value of work done during quarter ;  Chain Volume Measures ;  Western Australia ;  New ;  Total Residential ;,Value of work done during quarter ;  Chain Volume Measures ;  Western Australia ;  New ;  Total Residential ;.1,Value of work done during quarter ;  Chain Volume Measures ;  Tasmania ;  New ;  Total Residential ;,Value of work done during quarter ;  Chain Volume Measures ;  Tasmania ;  New ;  Total Residential ;.1,Value of work done during quarter ;  Chain Volume Measures ;  Northern Territory ;  New ;  Total Residential ;,Value of work done during quarter ;  Chain Volume Measures ;  Australian Capital Territory ;  New ;  Total Residential ;,Value of work done during quarter ;  Chain Volume Measures ;  Australian Capital Territory ;  New ;  Total Residential ;.1
1980-09-01 00:00:00,4088764,3814964,1989332,1887469,2441909,2288416,447523,429910,1128290,1090740,266348,266840,173020,134753,133871
1980-12-01 00:00:00,4031912,3799237,1828875,1764553,2345220,2231782,429998,410493,1018430,974481,301181,279873,159208,147704,134002
1981-03-01 00:00:00,3575463,3894618,1500960,1667926,2172663,2548562,371163,405729,949397,1022381,218346,240093,139579,160347,172141
1981-06-01 00:00:00,3844366,3882976,1626414,1591926,2551300,2447961,373040,388711,1046267,1049542,228966,226367,146849,170831,176517
1981-09-01 00:00:00,3910040,3649102,1672899,1591675,2953227,2775027,351760,338093,1094516,1058868,239161,239840,170476,159730,158319
1981-12-01 00:00:00,3618266,3407774,1644336,1585461,2941229,2796721,417480,399332,1142394,1090879,200504,186142,169385,186249,169120
1982-03-01 00:00:00,3066083,3338520,1345544,1490140,2658575,3108706,380551,415111,1057772,1140231,168220,184956,109773,137529,147873
1982-06-01 00:00:00,2828220,2859250,1488079,1458342,2645871,2542445,385246,400540,1070391,1074163,175441,173498,128675,119027,122950
1982-09-01 00:00:00,2727259,2546359,1516362,1448944,2491664,2349906,426868,411655,974264,944720,153777,154321,143214,102376,101076
1982-12-01 00:00:00,2462603,2316212,1347224,1295905,2084091,1977491,412160,394441,872940,830306,127864,118725,134127,111318,101332
1983-03-01 00:00:00,1943748,2115854,1246413,1374496,1470438,1708444,331418,360794,630952,680961,134236,147386,122859,94975,102414
1983-06-01 00:00:00,1916955,1939493,1680179,1648337,1718864,1658674,370224,383673,691078,694797,164821,162951,136308,102992,106101
1983-09-01 00:00:00,2401177,2245634,1749907,1679750,1837077,1739470,489459,474257,733017,710038,177565,178330,159208,117485,115625
1983-12-01 00:00:00,2493643,2340958,1909524,1837105,1979640,1873604,505733,484418,866260,823269,217496,202384,180290,123036,112376
1984-03-01 00:00:00,2236502,2433166,1746546,1911064,1772148,2040728,492276,533987,848073,916193,189460,207317,118860,107618,116468
1984-06-01 00:00:00,2637407,2666997,2008374,1972427,2175839,2114153,595550,615353,928241,933388,217496,214828,151938,130128,133365
1984-09-01 00:00:00,2774629,2603875,2125822,2053519,2048391,1946006,621634,605273,1154120,1116369,238225,239660,161802,166322,163354
1984-12-01 00:00:00,2907682,2726620,2245993,2160626,2036747,1924000,648449,622632,1200661,1144429,272128,254041,172576,174190,159688
1985-03-01 00:00:00,2577974,2795354,2036252,2210333,1621791,1846179,635007,684919,977525,1051867,227580,247844,169867,184251,199981
1985-06-01 00:00:00,2693627,2722763,2164102,2127211,1832212,1796123,633682,652736,1101944,1112522,249480,246116,189115,190447,194241
1985-09-01 00:00:00,3031379,2858702,2261949,2194240,1943497,1851912,634249,621108,1137465,1093460,246867,248551,188942,202364,198228
1985-12-01 00:00:00,2941418,2757002,2278520,2198830,1966785,1853277,615058,592464,1168750,1121946,240467,225905,172484,222081,205118
1986-03-01 00:00:00,2407595,2596811,1872435,2016490,1510835,1701440,483544,517142,1085108,1163082,239093,258493,117050,200567,216772
1986-06-01 00:00:00,2516345,2542577,1981088,1945898,1593814,1577682,471928,486038,1110808,1122572,232656,229411,134069,228783,233276
1986-09-01 00:00:00,2525990,2395590,1947113,1896724,1538386,1467981,472122,464466,1126622,1077704,228142,229468,104005,202285,197302
1986-12-01 00:00:00,2383784,2233758,1951644,1887057,1466883,1379722,473429,457522,1036178,1003568,238213,225686,91464,184002,171619
1987-03-01 00:00:00,2021046,2167905,1851294,1988078,1315843,1467037,426380,452018,998007,1063082,203893,218703,76418,135676,145366
1987-06-01 00:00:00,2212503,2232604,1947122,1905591,1479180,1478666,420110,432963,1079887,1093548,216889,213971,97289,136768,139712
